FIPS,Cluster,County,2020-05-28
47169,10,"Trousdale, Tennessee, US",14.55
36061,9,"New York City, New York, US",12.32
5079,8,"Lincoln, Arkansas, US",7.12
27105,8,"Nobles, Minnesota, US",6.85
31043,8,"Dakota, Nebraska, US",8.12
20175,7,"Seward, Kansas, US",3.77
31151,7,"Saline, Nebraska, US",3.46
47095,7,"Lake, Tennessee, US",5.49
47007,7,"Bledsoe, Tennessee, US",4.16
40139,7,"Texas, Oklahoma, US",4.28
39129,7,"Pickaway, Ohio, US",3.57
39101,7,"Marion, Ohio, US",4.04
35031,7,"McKinley, New Mexico, US",3.14
51159,7,"Richmond, Virginia, US",3.1
31047,7,"Dawson, Nebraska, US",3.5
31037,7,"Colfax, Nebraska, US",5.66
48341,7,"Moore, Texas, US",2.67
20057,7,"Ford, Kansas, US",4.7
20055,7,"Finney, Kansas, US",3.97
18017,7,"Cass, Indiana, US",4.17
16013,6,"Blaine, Idaho, US",2.33
36119,6,"Westchester, New York, US",3.44
19115,6,"Louisa, Iowa, US",3.05
36087,6,"Rockland, New York, US",4.04
36071,6,"Orange, New York, US",2.73
36059,6,"Nassau, New York, US",2.96
34039,6,"Union, New Jersey, US",2.8
34031,6,"Passaic, New Jersey, US",3.17
34017,6,"Hudson, New Jersey, US",2.79
36103,6,"Suffolk, New York, US",2.65
13273,6,"Terrell, Georgia, US",2.4
13243,6,"Randolph, Georgia, US",2.5
13099,6,"Early, Georgia, US",2.3
51131,5,"Northampton, Virginia, US",1.9
51029,5,"Buckingham, Virginia, US",2.66
49037,5,"San Juan, Utah, US",1.85
51683,5,"Manassas,Virginia,US",2.34
1085,5,"Lowndes, Alabama, US",2.17
51001,5,"Accomack, Virginia, US",2.46
1013,5,"Butler, Alabama, US",1.96
48375,5,"Potter, Texas, US",1.87
13037,5,"Calhoun, Georgia, US",2.02
4001,5,"Apache, Arizona, US",1.8
5123,5,"St. Francis, Arkansas, US",2.51
8075,5,"Logan, Colorado, US",2.7
8087,5,"Morgan, Colorado, US",2.19
9001,5,"Fairfield, Connecticut, US",1.63
10005,5,"Sussex, Delaware, US",1.89
12077,5,"Liberty, Florida, US",2.5
13095,5,"Dougherty, Georgia, US",1.94
21177,5,"Muhlenberg, Kentucky, US",1.55
13141,5,"Hancock, Georgia, US",2.27
