FIPS,Cluster,County,2020-05-28
36061,10,"New York City, New York, US",1.31181
13099,9,"Early, Georgia, US",0.28991
13243,9,"Randolph, Georgia, US",0.2681
13273,9,"Terrell, Georgia, US",0.29349
13095,8,"Dougherty, Georgia, US",0.15816
30101,8,"Toole, Montana, US",0.12058
13205,8,"Mitchell, Georgia, US",0.14265
13287,8,"Turner, Georgia, US",0.15072
13315,8,"Wilcox, Georgia, US",0.14696
22013,8,"Bienville, Louisiana, US",0.16828
22071,8,"Orleans, Louisiana, US",0.1296
22095,8,"St. John the Baptist, Louisiana, US",0.17953
34003,8,"Bergen, New Jersey, US",0.16699
34013,8,"Essex, New Jersey, US",0.20616
34017,8,"Hudson, New Jersey, US",0.17364
34031,8,"Passaic, New Jersey, US",0.17915
34039,8,"Union, New Jersey, US",0.18931
36059,8,"Nassau, New York, US",0.15583
36087,8,"Rockland, New York, US",0.1934
40055,8,"Greer, Oklahoma, US",0.11779
34041,7,"Warren, New Jersey, US",0.12136
36119,7,"Westchester, New York, US",0.14007
36103,7,"Suffolk, New York, US",0.12575
36071,7,"Orange, New York, US",0.11713
1123,7,"Tallapoosa, Alabama, US",0.1575
34035,7,"Somerset, New Jersey, US",0.12418
22047,7,"Iberville, Louisiana, US",0.12441
8087,7,"Morgan, Colorado, US",0.14864
9001,7,"Fairfield, Connecticut, US",0.13194
9003,7,"Hartford, Connecticut, US",0.13501
13061,7,"Clay, Georgia, US",0.06664
34029,7,"Ocean, New Jersey, US",0.12011
13293,7,"Upson, Georgia, US",0.12969
18031,7,"Decatur, Indiana, US",0.11675
19171,7,"Tama, Iowa, US",0.15173
20031,7,"Coffey, Kansas, US",0.09643
22037,7,"East Feliciana, Louisiana, US",0.15385
13261,7,"Sumter, Georgia, US",0.13508
22051,7,"Jefferson, Louisiana, US",0.10131
28051,7,"Holmes, Mississippi, US",0.13278
22093,7,"St. James, Louisiana, US",0.11706
34027,7,"Morris, New Jersey, US",0.12237
34023,7,"Middlesex, New Jersey, US",0.11709
28157,7,"Wilkinson, Mississippi, US",0.10011
34021,7,"Mercer, New Jersey, US",0.12528
26163,7,"Wayne, Michigan, US",0.13682
25013,7,"Hampden, Massachusetts, US",0.1198
22121,7,"West Baton Rouge, Louisiana, US",0.11988
25009,6,"Essex, Massachusetts, US",0.11459
26099,6,"Macomb, Michigan, US",0.09059
25011,6,"Franklin, Massachusetts, US",0.06626
25017,6,"Middlesex, Massachusetts, US",0.09804
25021,6,"Norfolk, Massachusetts, US",0.11443
25023,6,"Plymouth, Massachusetts, US",0.10525
25025,6,"Suffolk, Massachusetts, US",0.10761
34037,6,"Sussex, New Jersey, US",0.1033
26125,6,"Oakland, Michigan, US",0.07763
28083,6,"Leflore, Mississippi, US",0.10066
31081,6,"Hamilton, Nebraska, US",0.10896
34025,6,"Monmouth, New Jersey, US",0.09272
45027,6,"Clarendon, South Carolina, US",0.11171
48359,6,"Oldham, Texas, US",0.04785
22081,6,"Red River, Louisiana, US",0.08123
22089,6,"St. Charles, Louisiana, US",0.08345
9009,6,"New Haven, Connecticut, US",0.11008
22077,6,"Pointe Coupee, Louisiana, US",0.10831
13037,6,"Calhoun, Georgia, US",0.07778
22075,6,"Plaquemines, Louisiana, US",0.07273
1017,6,"Chambers, Alabama, US",0.07095
9007,6,"Middlesex, Connecticut, US",0.08814
13007,6,"Baker, Georgia, US",0.06272
13035,6,"Butts, Georgia, US",0.09263
8015,6,"Chaffee, Colorado, US",0.09914
13093,6,"Dooly, Georgia, US",0.0863
13321,6,"Worth, Georgia, US",0.10167
18117,6,"Orange, Indiana, US",0.11255
21001,6,"Adair, Kentucky, US",0.09875
13177,6,"Lee, Georgia, US",0.07496
21109,6,"Jackson, Kentucky, US",0.09721
22103,5,"St. Tammany, Louisiana, US",0.06188
22031,5,"De Soto, Louisiana, US",0.06246
22057,5,"Lafourche, Louisiana, US",0.07229
22097,5,"St. Landry, Louisiana, US",0.06471
22101,5,"St. Mary, Louisiana, US",0.05606
22117,5,"Washington, Louisiana, US",0.0818
22111,5,"Union, Louisiana, US",0.07564
24029,5,"Kent, Maryland, US",0.07656
25027,5,"Worcester, Massachusetts, US",0.08975
22017,5,"Caddo, Louisiana, US",0.07248
26049,5,"Genesee, Michigan, US",0.06083
22027,5,"Claiborne, Louisiana, US",0.06191
13275,5,"Thomas, Georgia, US",0.0693
21107,5,"Hopkins, Kentucky, US",0.06351
19139,5,"Muscatine, Iowa, US",0.09546
18111,5,"Newton, Indiana, US",0.07134
18081,5,"Johnson, Indiana, US",0.06994
17079,5,"Jasper, Illinois, US",0.07293
13307,5,"Webster, Georgia, US",0.03827
13141,5,"Hancock, Georgia, US",0.25776
13027,5,"Brooks, Georgia, US",0.05761
13001,5,"Appling, Georgia, US",0.07045
9005,5,"Litchfield, Connecticut, US",0.06993
1085,5,"Lowndes, Alabama, US",0.09769
28017,5,"Chickasaw, Mississippi, US",0.06945
28015,5,"Carroll, Mississippi, US",0.1086
46073,5,"Jerauld, South Dakota, US",0.04929
28023,5,"Clarke, Mississippi, US",0.11301
42069,5,"Lackawanna, Pennsylvania, US",0.07709
28053,5,"Humphreys, Mississippi, US",0.08198
54035,5,"Jackson, West Virginia, US",0.06203
51131,5,"Northampton, Virginia, US",0.16727
51081,5,"Greensville, Virginia, US",0.06004
48477,5,"Washington, Texas, US",0.0661
48365,5,"Panola, Texas, US",0.09386
45061,5,"Lee, South Carolina, US",0.0852
42101,5,"Philadelphia, Pennsylvania, US",0.08137
42095,5,"Northampton, Pennsylvania, US",0.06826
42091,5,"Montgomery, Pennsylvania, US",0.07987
51595,5,"Emporia, Virginia, US",0.09292
42045,5,"Delaware, Pennsylvania, US",0.09653
35031,5,"McKinley, New Mexico, US",0.13727
42017,5,"Bucks, Pennsylvania, US",0.07759
28095,5,"Monroe, Mississippi, US",0.06975
28099,5,"Neshoba, Mississippi, US",0.12595
28075,5,"Lauderdale, Mississippi, US",0.07501
35045,5,"San Juan, New Mexico, US",0.08944
39099,5,"Mahoning, Ohio, US",0.07487
40147,5,"Washington, Oklahoma, US",0.06731
28069,5,"Kemper, Mississippi, US",0.10884
45089,4,"Williamsburg, South Carolina, US",0.0346
45039,4,"Fairfield, South Carolina, US",0.06164
42037,4,"Columbia, Pennsylvania, US",0.04681
45005,4,"Allendale, South Carolina, US",0.03256
42115,4,"Susquehanna, Pennsylvania, US",0.03628
42103,4,"Pike, Pennsylvania, US",0.03243
42089,4,"Monroe, Pennsylvania, US",0.06027
42079,4,"Luzerne, Pennsylvania, US",0.04373
42077,4,"Lehigh, Pennsylvania, US",0.06012
42071,4,"Lancaster, Pennsylvania, US",0.05313
42007,4,"Beaver, Pennsylvania, US",0.04314
42029,4,"Chester, Pennsylvania, US",0.05221
42025,4,"Carbon, Pennsylvania, US",0.03441
42011,4,"Berks, Pennsylvania, US",0.07392
40041,4,"Delaware, Oklahoma, US",0.03799
40033,4,"Cotton, Oklahoma, US",0.03373
40015,4,"Caddo, Oklahoma, US",0.03408
39173,4,"Wood, Ohio, US",0.0354
39169,4,"Wayne, Ohio, US",0.04217
47169,4,"Trousdale, Tennessee, US",0.04178
39167,4,"Washington, Ohio, US",0.03132
47165,4,"Sumner, Tennessee, US",0.02507
51159,4,"Richmond, Virginia, US",0.04506
48101,4,"Cottle, Texas, US",0.06161
51570,4,"Colonial Heights, Virginia, US",0.08526
39133,4,"Portage, Ohio, US",0.03505
1063,4,"Greene, Alabama, US",0.04747
55079,4,"Milwaukee, Wisconsin, US",0.02987
53077,4,"Yakima, Washington, US",0.0373
53033,4,"King, Washington, US",0.02598
53005,4,"Benton, Washington, US",0.03142
51800,4,"Suffolk, Virginia, US",0.03477
51660,4,"Harrisonburg, Virginia, US",0.04308
51610,4,"Falls Church, Virginia, US",0.05687
51171,4,"Shenandoah, Virginia, US",0.04646
48117,4,"Deaf Smith, Texas, US",0.06879
51139,4,"Page, Virginia, US",0.08842
51117,4,"Mecklenburg, Virginia, US",0.06808
51087,4,"Henrico, Virginia, US",0.04023
51013,4,"Arlington, Virginia, US",0.04702
51001,4,"Accomack, Virginia, US",0.03665
50007,4,"Chittenden, Vermont, US",0.02407
48341,4,"Moore, Texas, US",0.05963
48205,4,"Hartley, Texas, US",0.03468
48195,4,"Hansford, Texas, US",0.03606
39137,4,"Putnam, Ohio, US",0.04121
1013,4,"Butler, Alabama, US",0.06492
39129,4,"Pickaway, Ohio, US",0.0627
13081,4,"Crisp, Georgia, US",0.03064
8123,4,"Weld, Colorado, US",0.04371
9013,4,"Tolland, Connecticut, US",0.03768
10005,4,"Sussex, Delaware, US",0.05876
11001,4,"District of Columbia,District of Columbia,US",0.06618
12121,4,"Suwannee, Florida, US",0.04098
13009,4,"Baldwin, Georgia, US",0.05741
13015,4,"Bartow, Georgia, US",0.03667
13071,4,"Colquitt, Georgia, US",0.0307
13129,4,"Gordon, Georgia, US",0.02641
8085,4,"Montrose, Colorado, US",0.02908
13133,4,"Greene, Georgia, US",0.04123
13137,4,"Habersham, Georgia, US",0.04516
13193,4,"Macon, Georgia, US",0.04451
13221,4,"Oglethorpe, Georgia, US",0.04058
13237,4,"Putnam, Georgia, US",0.04185
13239,4,"Quitman, Georgia, US",0.04394
13253,4,"Seminole, Georgia, US",0.02371
13269,4,"Taylor, Georgia, US",0.02441
8091,4,"Ouray, Colorado, US",0.02118
8063,4,"Kit Carson, Colorado, US",0.03929
13319,4,"Wilkinson, Georgia, US",0.04406
1131,4,"Wilcox, Alabama, US",0.06476
