,region,sub-region,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27
0,Akron,Ohio,100.0,102.32666666666667,96.76666666666667,93.71,100.73666666666668,89.74333333333333,62.99000000000001,75.62333333333332,88.69999999999999,87.96333333333332,88.99000000000001,100.73,97.81333333333333,58.050000000000004,79.67,81.80666666666666,80.68,86.08666666666666,100.86333333333334,93.53666666666668,63.55666666666667,86.93666666666667,82.13666666666667,80.25999999999999,87.49333333333334,89.91333333333334,89.36,63.01666666666667,86.99333333333334,91.40333333333332,92.55,93.06666666666666,104.00666666666666,90.80333333333334,71.16333333333334,88.81,88.06666666666666,88.63666666666666,88.41333333333334,104.49666666666667,102.68666666666667,66.33666666666666,88.58999999999999,88.74333333333334,87.04,86.68333333333334,98.65666666666668,98.03666666666668,71.16333333333333,88.08,89.73,89.75666666666666,100.90333333333335,105.44666666666667,105.3,75.88333333333333,94.35666666666667,86.20666666666666,89.92999999999999,82.56333333333333,87.53333333333335,88.56666666666668,54.94,64.59333333333335,60.44,57.876666666666665,58.86666666666667,61.82333333333333,49.876666666666665,42.97666666666667,47.346666666666664,42.60333333333333,51.38,52.379999999999995,56.93000000000001,43.173333333333325,43.556666666666665,48.330000000000005,50.60666666666666,50.18666666666667,53.73666666666667,59.49,58.43333333333334,40.13666666666667,56.720000000000006,52.60999999999999,58.31666666666666,52.22666666666667,56.59,53.18666666666667,33.40333333333333,46.803333333333335,52.56333333333333,54.31666666666666,56.843333333333334,52.52,56.70666666666667,47.24333333333333,64.08666666666666,54.48,57.81999999999999,56.46333333333333,68.08666666666666,67.70666666666666,40.70666666666667,62.86000000000001,62.15,62.39666666666667,59.56333333333333,70.46,70.27,59.876666666666665,66.26666666666667,69.42333333333333,68.69666666666666,72.11,72.68666666666667,67.87666666666667,52.06,84.04666666666667,76.46,87.10666666666667,90.91666666666667,69.64999999999999,80.15666666666667,86.14666666666666,88.55666666666667,92.07666666666667,98.5,97.22333333333334,74.95,68.93666666666667,99.46999999999998,101.11000000000001
1,Albany,New York,100.0,103.61666666666667,108.88666666666667,106.94,119.93,92.27333333333333,84.25,110.52999999999999,117.77,127.28333333333335,126.21666666666665,153.37333333333333,132.84,94.14999999999999,109.51666666666667,113.36000000000001,109.31666666666666,115.63333333333333,145.66666666666666,131.19333333333336,89.87666666666667,111.37333333333333,111.52666666666669,109.95666666666666,106.77666666666666,121.63,130.79,93.40666666666668,110.98333333333333,120.70666666666666,120.44333333333334,125.31333333333333,155.85,137.96,106.07333333333334,115.76333333333334,113.75666666666667,122.75,118.71333333333332,150.42333333333332,134.42333333333332,100.31,116.58666666666666,117.41333333333334,119.98,120.54,153.52333333333334,144.31000000000003,101.87333333333333,114.26666666666667,121.5,122.68666666666667,127.09666666666668,157.49666666666667,148.48000000000002,101.64333333333333,125.27999999999999,112.28666666666668,114.23,107.01333333333332,105.07666666666667,89.07666666666665,66.49,75.89666666666666,64.51333333333334,65.87333333333333,62.79666666666666,64.57666666666667,54.583333333333336,40.92333333333334,44.54666666666666,46.156666666666666,47.666666666666664,49.93666666666667,60.78333333333333,44.026666666666664,37.97,47.01666666666667,50.46333333333333,53.03333333333334,48.70333333333334,49.10666666666666,53.25,41.25666666666667,52.97666666666667,53.03,49.446666666666665,45.419999999999995,52.156666666666666,50.98333333333333,37.096666666666664,44.163333333333334,53.406666666666666,52.54333333333333,53.13666666666666,57.79666666666666,47.73666666666667,51.830000000000005,59.836666666666666,52.00666666666667,53.64333333333334,55.843333333333334,59.77,62.629999999999995,41.02333333333333,53.93333333333334,61.443333333333335,59.04333333333333,56.48333333333333,64.39666666666666,69.75999999999999,61.38333333333333,61.78000000000001,67.18333333333334,63.99333333333333,66.09333333333333,73.26333333333334,61.50666666666667,56.21666666666667,74.04666666666667,78.37666666666667,84.17333333333333,81.94666666666667,67.33666666666666,76.17333333333333,84.09333333333332,86.51333333333334,88.31,96.95666666666666,83.83333333333333,72.36,75.51,88.54,91.03000000000002
2,Albuquerque,New Mexico,100.0,95.18333333333334,99.31666666666668,86.85000000000001,104.61666666666667,108.85666666666667,78.65333333333332,91.81,97.19,99.17666666666668,97.64333333333333,113.29666666666667,110.10333333333334,77.45,88.77999999999999,97.16666666666667,99.10666666666667,101.94333333333333,114.79666666666667,110.96999999999998,73.03333333333335,94.44,88.55666666666666,96.26,99.30666666666666,119.06,118.21333333333332,80.31333333333333,96.19333333333334,85.41666666666667,102.91000000000001,116.96,130.00666666666666,120.76333333333332,91.49333333333334,104.53666666666668,103.58666666666666,103.32666666666667,109.71999999999998,120.93,117.55,80.08999999999999,104.50666666666666,95.16000000000001,105.60000000000001,108.42,122.31666666666666,131.34,83.91000000000001,102.79,106.52,104.96,112.16333333333334,130.75,127.33333333333333,84.02666666666666,106.79666666666667,113.63666666666667,112.46666666666668,107.94666666666667,104.02666666666669,96.25,68.19333333333334,84.19666666666666,78.42,71.27333333333333,65.39333333333333,69.74000000000001,60.45333333333334,46.67666666666667,58.89000000000001,52.169999999999995,54.28,49.39666666666667,54.20666666666667,51.14000000000001,41.62333333333333,51.48,54.053333333333335,52.21333333333333,56.24000000000001,60.10333333333333,52.45000000000001,43.30666666666667,51.223333333333336,55.076666666666675,53.76333333333334,54.51,61.21333333333333,50.669999999999995,34.443333333333335,43.39666666666667,51.32,56.99666666666667,57.78666666666667,62.60333333333333,57.00666666666666,49.59,59.68333333333334,56.916666666666664,60.96333333333333,59.54,65.37333333333333,61.876666666666665,50.620000000000005,59.74666666666667,64.71333333333332,65.68666666666667,69.13333333333333,78.82666666666667,69.89333333333333,55.81333333333333,67.27,71.68333333333334,71.42666666666668,72.63666666666667,78.29333333333334,74.21333333333332,53.846666666666664,76.98,80.96,94.64333333333332,90.57333333333334,73.79666666666667,90.19666666666667,90.06,91.21,94.75999999999999,104.06666666666666,91.17999999999999,73.44,72.68666666666667,91.48,90.83999999999999
3,Allentown,Pennsylvania,100.0,106.00666666666666,108.81333333333333,104.02999999999999,127.18,83.38000000000001,84.87,104.8,107.78333333333335,110.94,114.05666666666667,127.89999999999999,111.86333333333334,84.89999999999999,100.48333333333333,102.12666666666667,105.52666666666666,104.21666666666665,124.19000000000001,116.95333333333333,82.75,110.09999999999998,109.42333333333333,99.00999999999999,103.28000000000002,119.74666666666667,120.56666666666666,91.50999999999999,106.73,112.28666666666668,112.49,117.58333333333333,143.20666666666668,129.99666666666667,100.54333333333334,119.37333333333333,113.28666666666668,114.30333333333334,114.27,130.67666666666665,134.49666666666667,95.88,112.76333333333332,110.92666666666666,108.64333333333333,109.75333333333333,131.88666666666666,124.94333333333333,105.33,106.42999999999999,108.3,113.80333333333333,118.90666666666668,128.86333333333334,128.17333333333335,93.93666666666667,114.56,111.42,110.49333333333334,102.13999999999999,112.26666666666665,101.80666666666667,72.85,87.88666666666666,76.69,92.71666666666665,64.17666666666666,71.11,61.05333333333334,47.35666666666666,44.98333333333333,57.79333333333333,50.35,53.21666666666667,63.25666666666667,43.29,39.693333333333335,51.419999999999995,48.13333333333333,55.623333333333335,54.31999999999999,55.36333333333334,54.123333333333335,48.50666666666667,56.87,53.85333333333333,55.46333333333333,55.67333333333334,56.056666666666665,54.29333333333333,42.43,50.07333333333333,60.830000000000005,60.803333333333335,57.22666666666667,62.04666666666666,58.0,53.776666666666664,59.92666666666667,53.99333333333334,59.81333333333333,61.48666666666667,61.72,69.14333333333333,46.416666666666664,61.626666666666665,66.97,66.63666666666667,65.68666666666667,81.81,81.60000000000001,67.39999999999999,74.61666666666666,75.51666666666667,69.57333333333334,83.44,76.97333333333334,79.14333333333333,68.33333333333333,87.63333333333333,93.71333333333332,101.77333333333333,97.21666666666665,82.12,94.58333333333333,93.05333333333333,93.69333333333334,102.84333333333332,101.26333333333332,91.61333333333333,89.65333333333332,85.43333333333332,105.74333333333334,104.05333333333333
4,Anchorage,Alaska,100.0,102.06,102.41,107.53999999999999,122.19,109.995,83.27000000000001,89.64,104.755,102.42,100.58500000000001,122.10499999999999,113.19999999999999,81.035,92.57499999999999,88.845,95.41499999999999,98.755,116.28999999999999,110.38,78.6,101.315,95.22,105.945,108.63,124.45500000000001,120.30000000000001,84.215,100.84,103.42500000000001,102.38499999999999,119.255,136.97500000000002,120.72,91.39500000000001,100.39500000000001,102.98,107.415,111.05,123.99,124.19999999999999,93.765,104.05,106.455,107.63,118.035,142.65,141.965,94.16,105.645,99.725,111.12,117.005,143.005,145.635,92.725,111.005,109.57,109.34,109.655,119.09,99.67,78.43,88.845,83.235,82.285,78.805,81.045,63.16,61.435,62.825,63.605000000000004,60.64,63.825,68.2,57.69,51.105000000000004,62.644999999999996,62.845,63.94,58.305,70.725,63.114999999999995,58.03,63.83,65.245,66.66,67.785,80.155,72.78,46.985,66.64,73.65,76.595,78.58500000000001,86.715,84.14,68.38,75.72,77.69,87.65,86.3,98.16,94.455,82.78999999999999,99.855,99.15,105.155,104.66,115.375,109.66499999999999,91.03,101.80000000000001,114.81,115.03,113.4,126.245,121.69500000000001,87.745,124.81,136.915,149.33499999999998,133.75,105.23,128.575,137.33499999999998,145.215,136.57999999999998,155.925,128.89499999999998,101.16499999999999,107.215,140.64499999999998,150.245
5,Ann Arbor,Michigan,100.0,104.50999999999999,101.69666666666667,102.94,120.84333333333332,82.08333333333333,69.12666666666667,89.92999999999999,91.94666666666666,95.10333333333334,102.34333333333335,117.39,107.56666666666666,70.33333333333333,83.86666666666666,86.66666666666667,89.12333333333333,98.28333333333335,120.86,105.49000000000001,71.38666666666667,87.37666666666667,87.62333333333333,89.14999999999999,96.95333333333333,118.0166666666667,107.86000000000001,71.4,85.83999999999999,90.49333333333334,91.12666666666667,97.77999999999999,125.08666666666666,114.09333333333332,81.98666666666666,90.81666666666668,90.26333333333332,93.08999999999999,95.53333333333335,118.05,114.99000000000001,75.19,80.45666666666666,86.52,85.57333333333332,92.05666666666666,96.55666666666667,79.89333333333333,55.586666666666666,66.06333333333333,66.19666666666667,68.64999999999999,72.71666666666667,75.23,85.51666666666667,77.55666666666667,89.21666666666665,104.92333333333333,83.76666666666667,79.92666666666666,78.04,64.46666666666667,47.190000000000005,44.93,43.57666666666666,37.22,35.34,38.22666666666667,31.179999999999996,23.073333333333334,28.396666666666665,22.69666666666667,26.41,24.76,26.166666666666668,22.823333333333334,19.273333333333333,24.55333333333333,23.80333333333333,22.540000000000003,26.823333333333334,30.070000000000004,23.916666666666668,23.24666666666667,24.66,23.573333333333334,27.01,23.146666666666665,26.27333333333333,25.45,17.37333333333333,22.47,24.540000000000003,25.116666666666664,25.16,22.896666666666665,27.69333333333333,24.833333333333332,27.346666666666664,24.636666666666667,23.37,24.310000000000002,29.126666666666665,28.316666666666666,25.94666666666667,29.993333333333336,31.286666666666665,26.963333333333335,28.570000000000004,38.04,35.57333333333333,33.49666666666667,33.666666666666664,31.083333333333332,34.49333333333334,37.45333333333333,37.123333333333335,34.64333333333334,26.376666666666665,40.25,34.41,42.06,43.49666666666667,30.216666666666665,35.02,41.57,47.39666666666667,47.57333333333333,49.04,44.75666666666666,40.663333333333334,36.31333333333333,47.60666666666666,49.096666666666664
6,Annapolis,Maryland,100.0,117.23333333333335,111.21,113.57333333333334,130.14000000000001,119.52,108.25999999999999,104.87666666666667,107.21999999999998,104.91666666666667,106.65666666666668,119.30333333333333,133.54,81.53666666666668,88.12,94.53666666666668,105.29333333333334,100.89666666666666,122.94666666666666,138.85,75.82666666666667,90.67999999999999,101.69,99.31666666666666,98.86999999999999,111.01666666666665,136.00333333333333,92.28333333333335,92.88333333333333,104.78666666666668,107.14333333333333,111.8,150.67333333333332,146.76999999999998,105.00666666666666,124.15666666666668,109.66000000000001,122.38,120.73,134.49333333333334,164.16333333333333,97.08,98.71,103.89666666666666,114.21666666666665,115.97666666666665,126.27,136.36,96.19000000000001,105.22999999999998,100.66000000000001,107.76333333333334,112.69666666666666,133.67666666666665,143.49,134.62,108.90333333333335,93.39333333333333,99.78333333333335,90.23,96.56333333333333,93.93666666666667,63.25,72.91,60.636666666666656,57.21333333333333,54.53666666666666,57.5,49.21333333333333,42.52,39.32,42.26,34.39333333333334,46.03333333333333,51.413333333333334,37.95666666666667,34.663333333333334,43.52333333333333,34.623333333333335,37.14333333333334,38.37,42.20333333333333,40.51,36.1,39.166666666666664,37.330000000000005,43.52333333333333,37.38666666666666,42.52333333333333,45.49000000000001,31.086666666666662,36.160000000000004,40.529999999999994,46.093333333333334,46.28666666666667,45.93666666666667,40.916666666666664,42.95666666666667,45.85,44.25333333333333,50.85333333333333,42.57,46.01666666666667,51.550000000000004,37.28333333333333,41.10666666666666,54.666666666666664,55.04333333333333,46.38333333333333,60.173333333333325,61.02,45.900000000000006,54.07666666666666,58.06999999999999,50.93,65.76333333333332,58.98333333333333,64.45,57.836666666666666,71.24,73.92333333333333,82.86333333333333,138.97666666666666,67.92999999999999,68.01,69.08,75.41333333333334,82.5,77.06333333333333,92.18333333333334,75.51,73.02,80.91666666666667,80.96666666666665
7,Antioch,California,100.0,98.55333333333334,96.84666666666668,95.39,108.77666666666666,109.98,83.22,94.53333333333335,99.13999999999999,103.55,103.33999999999999,114.94333333333333,114.57,81.89333333333333,108.62666666666667,105.91666666666667,106.24000000000001,105.98,110.93666666666667,113.91333333333334,88.84333333333335,101.64666666666666,106.45333333333333,110.33333333333333,107.27,116.38666666666666,121.82666666666667,87.24,112.27999999999999,112.68333333333332,108.72666666666667,114.98,125.98333333333333,116.2,90.78666666666668,105.32666666666665,109.65333333333332,108.76666666666667,103.45,121.20666666666666,122.24333333333334,96.87,112.34333333333332,114.74333333333334,112.38666666666666,116.81333333333333,118.04666666666667,124.55000000000001,91.76333333333332,110.41666666666667,119.23333333333333,110.69666666666667,111.52333333333333,120.58,111.17666666666666,87.43,102.36000000000001,103.00666666666666,106.84999999999998,102.00666666666666,110.00333333333333,87.87,65.97,81.7,60.60666666666666,64.38,69.77333333333333,69.98333333333333,62.21,51.04,58.48,57.61666666666667,58.51666666666667,60.23666666666667,65.33666666666666,52.43,51.04666666666666,61.376666666666665,61.24,62.96333333333333,63.38666666666666,68.24333333333334,54.44,43.99666666666667,54.900000000000006,59.85,59.35666666666666,58.5,67.23,68.5,48.55666666666667,60.67666666666667,65.55,66.65333333333334,64.15333333333332,69.69666666666666,69.59333333333333,57.98666666666667,65.86666666666666,66.37,67.60000000000001,69.40666666666667,72.23666666666666,74.11333333333333,62.946666666666665,71.18666666666667,71.34333333333333,65.28333333333333,73.52,80.25666666666667,76.14999999999999,68.37333333333333,79.21333333333332,79.13666666666666,78.36,82.78333333333333,90.39,93.3,77.85000000000001,82.42666666666668,92.14333333333333,108.00999999999999,109.13333333333333,90.52666666666669,91.90333333333335,96.67,100.17999999999999,107.58666666666666,121.67666666666666,126.83333333333333,110.18333333333334,95.12,102.45333333333333,103.09333333333332
8,Atlanta,Georgia,100.0,102.94,106.15333333333332,108.68333333333332,118.33666666666666,113.03333333333335,87.05,94.30333333333333,96.83,96.40666666666668,96.40333333333332,113.77333333333333,118.95333333333333,77.85333333333334,93.8,101.34666666666668,97.62333333333333,102.63666666666667,110.77,115.05666666666666,81.91666666666667,99.02666666666669,100.68666666666667,98.85333333333334,93.98333333333335,114.71,98.54333333333334,87.60666666666667,96.37,100.8,105.16000000000001,109.39,147.6833333333333,138.53,91.04,101.01333333333332,99.26666666666667,102.00666666666666,97.47333333333334,120.57,131.82666666666668,86.32333333333334,91.83333333333333,105.50333333333333,106.54,114.15666666666668,134.04999999999998,157.6833333333333,97.43666666666667,97.43666666666667,100.18,97.46333333333332,101.88,136.38666666666666,146.04333333333332,95.71666666666665,105.80333333333334,101.91666666666667,104.71666666666665,100.33333333333333,105.04,101.87333333333333,66.28333333333333,73.00666666666666,69.31333333333333,66.34333333333333,66.73,69.86333333333333,62.326666666666675,42.73,48.393333333333324,49.9,55.85999999999999,56.173333333333325,61.220000000000006,56.25,44.80666666666667,54.916666666666664,47.96666666666667,52.92333333333334,53.78333333333333,54.626666666666665,47.050000000000004,40.62,51.086666666666666,49.919999999999995,51.61000000000001,54.09666666666667,57.85333333333333,54.61000000000001,33.45333333333333,53.61333333333334,55.88333333333333,57.050000000000004,57.25333333333333,64.75,61.5,40.68333333333333,61.01333333333333,58.453333333333326,57.74333333333333,50.910000000000004,67.17,65.7,51.336666666666666,61.92666666666667,63.48666666666667,57.67666666666667,63.60999999999999,75.32333333333334,75.95666666666666,61.800000000000004,68.73,71.55333333333333,71.05,74.21333333333332,73.98,81.77,60.93,79.14333333333333,82.09333333333333,94.61666666666667,96.40333333333332,75.54333333333334,80.52,88.02,83.65333333333335,90.72666666666667,103.26,103.46,81.89666666666666,77.83333333333333,85.54666666666667,82.99666666666667
9,Austin,Texas,100.0,102.00333333333333,105.78333333333335,106.09666666666665,124.49000000000001,140.72666666666666,109.75999999999999,119.11666666666667,136.99666666666667,126.37333333333333,131.62,151.75333333333333,144.62,106.45666666666666,123.77666666666669,121.07333333333334,120.54,123.04666666666667,147.32666666666668,149.5533333333333,99.87333333333333,113.89666666666666,121.71999999999998,110.61,125.21333333333332,147.95333333333335,145.14333333333335,96.39666666666666,108.92666666666666,113.46666666666665,121.17999999999999,136.15666666666667,167.98999999999998,165.68333333333334,142.41,124.55333333333334,115.85333333333334,116.46333333333332,123.50333333333333,154.00666666666666,162.35,115.79333333333334,121.09333333333332,127.08666666666666,123.23666666666668,138.13666666666668,165.71666666666667,171.73333333333332,114.2,116.89999999999999,124.26666666666667,114.71,132.03666666666666,159.95000000000002,162.7,114.03000000000002,120.63,133.09,125.99333333333334,125.92666666666666,119.89333333333333,102.79,64.97666666666667,73.17,64.29666666666667,61.586666666666666,57.163333333333334,50.79,41.72,38.970000000000006,51.050000000000004,51.21333333333333,42.98666666666667,44.44333333333333,48.04,41.53666666666667,37.60333333333333,36.593333333333334,45.21,45.20666666666667,39.27,40.373333333333335,33.693333333333335,33.85666666666666,42.406666666666666,45.03,44.79,42.76,48.29333333333333,40.800000000000004,33.25,43.01,43.81333333333333,46.68000000000001,46.45666666666667,47.03,45.03333333333334,40.02,48.633333333333326,46.21333333333333,44.28333333333334,52.67666666666667,55.72,54.623333333333335,45.586666666666666,49.946666666666665,52.346666666666664,54.02,55.15,64.64666666666666,62.75,51.74,58.35,59.02333333333333,61.086666666666666,61.63333333333333,69.4,68.73333333333333,52.65,65.00333333333333,68.39333333333333,75.21333333333332,76.85666666666667,64.74666666666667,75.03333333333335,75.99,77.65333333333335,80.93,93.46,93.40666666666668,73.59333333333333,65.85333333333334,79.08,78.85333333333334
