,region,sub-region,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27
0,Abbeville County,South Carolina,100.0,110.87,112.13,119.64,147.9,118.02,89.97,114.8,119.35,111.99,116.41,123.63,138.36,90.18,110.17,125.04,116.55,123.21,145.16,145.79,111.57,112.13,118.16,123.7,99.86,130.5,129.17,101.12,115.71,112.83,112.69,130.65,166.2,153.72,103.02,125.04,100.63,120.13,115.99,149.65,163.6,102.31,111.57,118.65,137.59,131.91,162.55,148.53,100.63,123.84,106.59,121.53,114.87,139.83,149.65,112.34,127.91,127.07,135.06,135.62,146.21,145.93,89.48,108.42,105.33,108.49,106.52,113.11,104.63,72.23,91.58,80.79,106.66,97.69,111.36,115.57,92.64,98.74,93.69,98.74,87.59,103.37,100.7,79.45,98.46,91.87,102.1,94.32,110.03,106.45,47.55,101.4,100.35,110.24,108.7,122.86,127.07,71.74,102.31,110.87,125.53,93.13,122.09,126.37,109.68,114.59,116.62,120.27,124.82,143.48,150.7,119.85,126.23,134.71,142.43,135.27,151.61,152.95,106.94,0.0,0.0,152.45,155.96,156.94,183.45,158.49,127.42,139.55,133.94,145.51,176.16,190.88,138.85,136.75,156.87,163.88
1,Acadia Parish,Louisiana,100.0,115.17,120.94,124.35,153.41,135.03,103.72,115.92,115.34,126.99,137.82,142.44,131.51,91.16,112.86,109.32,117.72,111.88,153.89,138.01,95.87,111.65,113.13,109.93,114.74,147.48,128.69,104.81,109.0,119.04,117.47,131.6,176.21,144.16,113.81,112.74,121.49,137.25,134.67,197.09,164.17,207.04,154.27,126.01,150.68,136.46,189.34,157.75,126.15,125.01,129.87,124.99,143.12,187.87,190.09,146.14,143.53,133.1,153.79,149.8,175.85,161.18,127.97,167.33,107.82,109.49,107.61,114.51,91.75,68.97,82.98,79.87,80.87,85.07,93.84,72.62,65.68,78.94,79.42,78.17,69.9,83.8,60.24,57.34,72.01,77.74,82.58,86.78,72.37,71.67,47.32,79.12,82.96,85.87,91.39,110.99,75.94,62.97,90.16,104.16,95.05,100.18,112.93,105.81,78.14,105.34,106.43,103.66,113.9,141.91,115.59,90.71,119.99,123.4,120.29,123.54,136.57,129.28,98.61,0.0,0.0,130.08,133.55,146.7,134.16,125.94,144.71,398.43,147.86,165.17,192.1,169.1,126.1,128.49,153.8,171.17
2,Accomack County,Virginia,100.0,98.93,99.53,107.75,142.9,103.14,109.17,113.61,93.73,93.43,101.83,130.71,97.28,93.55,98.11,92.66,84.67,105.44,110.24,103.08,88.58,93.79,91.07,96.39,98.34,120.53,116.33,223.85,103.43,93.96,101.66,112.43,179.23,206.09,146.51,144.67,116.45,105.21,109.64,134.85,127.1,118.05,108.46,97.4,105.21,116.39,139.11,130.89,130.89,111.72,103.67,108.4,127.99,141.24,136.45,136.15,122.66,121.42,112.37,120.83,147.22,138.99,112.78,107.28,92.54,95.38,90.77,94.97,80.3,65.33,65.92,66.09,64.79,67.75,71.95,67.87,60.83,72.31,57.57,53.08,56.98,70.71,54.91,42.31,59.53,56.45,72.31,64.14,65.33,62.96,47.93,55.62,69.64,76.75,77.16,81.42,67.81,61.78,68.7,79.94,85.38,77.69,83.91,78.58,68.28,72.37,96.33,78.28,83.25,100.83,86.39,91.89,108.34,90.53,93.91,91.42,114.79,106.27,80.53,0.0,0.0,111.6,113.43,142.25,163.85,137.63,117.22,120.36,121.72,152.25,182.19,208.05,183.96,180.18,168.34,143.2
3,Ada County,Idaho,100.0,99.89,105.05,108.43,121.67,111.69,75.31,99.84,101.96,107.19,106.85,120.98,113.33,71.34,98.67,102.6,106.81,108.38,125.19,119.31,70.33,99.39,102.6,107.59,108.8,134.28,122.65,80.77,106.14,111.15,114.79,123.5,139.47,118.78,82.51,108.93,110.2,111.88,120.31,144.15,139.35,86.08,110.66,113.91,112.28,124.58,148.93,137.49,88.47,109.39,111.71,113.4,130.77,155.05,141.33,87.61,109.7,119.62,115.96,116.26,129.56,110.05,68.63,94.29,88.89,86.43,88.61,91.42,79.45,57.13,71.42,70.41,67.92,60.1,67.47,59.78,42.63,58.44,67.39,63.96,65.47,71.21,60.8,46.64,64.3,67.67,71.13,73.32,83.09,70.11,41.92,70.33,73.14,75.8,78.91,90.45,80.22,62.11,83.28,82.34,83.18,85.03,96.63,85.12,66.82,83.86,91.56,92.27,91.81,114.37,98.49,74.11,101.82,103.53,99.06,108.37,121.65,111.08,77.73,0.0,0.0,110.31,112.38,134.01,123.82,92.28,117.1,121.18,119.12,131.47,151.45,132.87,103.92,108.77,137.7,142.89
4,Adair County,Kentucky,100.0,98.3,98.62666666666667,112.04333333333334,92.8,99.99000000000001,85.34333333333335,107.58666666666666,105.56333333333333,93.32666666666667,94.08,122.17999999999999,141.75,99.56333333333333,102.53333333333335,102.39333333333333,97.22666666666667,106.21666666666665,140.73000000000002,133.53666666666666,88.78666666666668,94.45333333333333,107.86666666666667,98.54,114.34666666666668,126.41333333333334,124.88333333333333,97.37333333333333,104.37333333333333,111.63999999999999,104.06666666666666,104.45666666666666,154.72333333333333,142.46,102.90333333333332,116.27333333333335,112.96,111.65333333333335,114.61666666666666,156.59,141.04666666666665,107.76,102.49000000000001,109.02333333333333,106.64999999999999,120.47333333333334,149.82333333333335,150.37333333333333,114.24333333333334,106.60666666666668,118.11,122.27999999999999,133.1833333333333,170.01333333333332,157.01333333333335,113.17333333333333,101.29333333333334,111.38333333333333,106.3,110.56000000000002,133.54999999999998,110.22333333333334,95.21333333333332,95.30666666666666,98.00999999999999,98.69666666666667,91.13666666666666,97.02666666666666,84.90333333333334,67.32666666666667,71.01,69.66000000000001,71.20666666666666,76.77999999999999,86.83666666666666,80.31666666666666,66.82666666666667,69.04666666666667,71.98666666666666,73.29333333333334,72.01,88.25666666666666,76.06333333333332,62.666666666666664,70.69333333333333,71.07000000000001,75.26,75.52333333333333,88.02999999999999,73.41000000000001,45.669999999999995,74.53666666666668,71.01,75.89333333333333,78.91666666666667,89.49666666666667,87.22666666666665,73.69333333333333,83.89999999999999,88.38333333333333,90.54333333333334,91.86,103.17333333333335,92.39333333333333,81.64,94.54333333333334,89.19666666666666,91.70666666666666,98.81333333333333,116.86333333333333,111.63666666666666,95.11666666666667,96.82666666666667,102.88333333333333,106.53000000000002,108.83999999999999,132.73,124.59333333333335,89.89333333333333,0.0,0.0,111.44333333333334,131.20333333333332,146.71,135.00333333333336,115.21333333333332,116.55666666666667,120.69666666666666,127.80333333333333,142.17000000000002,175.59666666666666,155.60000000000002,132.12,136.91,129.00666666666666,126.88999999999999
5,Adams County,Colorado,100.0,101.07,100.40888888888891,105.62666666666668,120.36555555555555,113.08888888888889,93.7188888888889,108.3288888888889,100.56888888888888,97.86999999999999,102.33,127.4011111111111,130.9711111111111,95.19999999999999,100.22888888888889,101.17777777777776,104.00111111111111,109.91000000000001,129.8022222222222,139.60666666666668,95.97999999999999,96.44444444444444,97.79444444444442,99.35666666666664,106.30666666666667,128.17333333333332,129.28444444444443,100.89777777777778,99.08666666666667,108.04555555555557,104.48777777777777,110.32777777777777,157.9477777777778,164.9888888888889,119.04444444444445,119.55222222222223,107.39777777777778,108.33333333333333,115.69222222222223,148.70333333333332,153.25666666666666,113.45333333333333,109.0311111111111,108.28777777777776,110.34333333333332,121.31,161.4133333333333,163.69999999999996,122.74999999999997,110.02555555555554,112.27666666666667,120.30666666666667,128.13333333333333,152.61,159.1777777777778,122.16222222222223,113.49222222222221,116.12111111111113,117.45666666666665,116.06777777777779,134.83,121.17777777777776,90.68222222222222,94.66666666666669,92.40666666666668,89.40555555555557,84.13333333333334,90.52111111111111,82.42222222222223,62.61555555555557,76.30888888888889,75.3722222222222,73.60666666666665,75.83777777777777,80.19333333333333,69.20777777777778,55.53888888888889,75.11666666666667,72.47777777777779,75.63444444444444,75.95555555555558,81.67222222222222,72.94444444444444,60.02555555555554,79.56333333333333,78.08333333333333,81.15333333333335,79.5311111111111,87.77444444444444,78.93555555555557,45.815555555555555,77.96555555555557,80.66777777777779,82.26111111111112,84.09777777777778,98.65666666666667,89.77666666666666,72.68333333333334,91.26333333333335,90.25,97.97222222222223,94.39444444444445,110.1222222222222,101.73888888888888,83.50555555555556,99.39,98.30000000000001,99.86555555555556,106.15111111111112,128.00555555555556,126.21555555555557,97.92555555555555,108.76888888888888,107.08999999999999,113.72333333333333,119.29333333333335,135.88777777777779,137.36,96.96555555555555,0.0,0.0,123.24444444444445,128.54888888888888,151.35000000000002,147.35222222222222,112.66,132.2188888888889,131.83666666666667,138.5288888888889,151.08444444444444,182.31,176.2255555555556,154.64888888888888,149.41333333333336,146.5088888888889,143.0566666666667
6,Addison County,Vermont,100.0,95.66,107.27,105.19,129.22,113.61,107.97,124.88,101.26,90.58,95.37,129.29,131.18,102.15,89.06,90.29,92.21,102.3,126.1,133.56,93.1,88.99,86.76,96.03,76.12,87.58,114.09,116.83,87.13,91.92,100.33,115.57,157.99,178.68,143.97,132.15,106.64,118.58,114.42,138.67,134.33,114.68,99.11,99.59,99.81,108.12,152.8,161.99,116.98,91.29,98.89,100.67,97.48,137.34,137.37,117.65,106.41,106.41,105.75,109.49,121.99,105.01,91.51,67.78,62.55,64.96,60.96,60.7,61.03,49.98,49.91,48.02,51.61,49.35,47.46,54.8,36.6,41.12,43.75,46.68,42.2,49.76,55.77,38.97,50.02,48.39,52.06,40.97,46.72,57.51,37.23,41.64,55.69,57.17,59.1,63.63,64.33,56.17,64.89,60.4,59.92,73.3,75.49,91.21,59.99,53.5,69.37,71.56,67.74,79.68,99.07,74.01,64.66,83.24,81.13,81.16,84.28,90.88,75.05,0.0,0.0,88.91,101.48,94.81,116.28,95.18,95.62,102.04,116.02,118.13,123.66,141.53,125.32,114.31,115.24,116.02
7,Aguadilla Municipio,Puerto Rico,100.0,103.96,105.94,113.14,147.97,149.77,143.38,122.68,109.45,99.1,122.68,139.24,143.38,126.46,121.15,106.3,110.71,119.35,131.95,163.19,142.75,124.84,120.16,118.09,140.23,157.43,172.28,153.11,131.32,133.3,142.39,156.62,216.47,223.04,203.42,156.08,132.31,155.18,151.85,159.14,192.53,167.78,126.73,125.11,143.2,132.67,175.25,185.51,165.98,138.16,132.94,132.85,142.57,186.59,198.74,168.41,135.1,143.47,158.87,151.67,183.89,185.15,136.0,86.5,58.42,44.01,36.0,28.08,29.25,21.42,21.42,27.81,20.43,26.64,19.8,30.6,17.37,23.04,18.81,16.2,20.88,20.34,22.23,11.97,19.53,22.41,24.93,24.93,14.04,18.99,12.15,28.71,30.15,33.84,32.67,28.62,28.71,16.65,29.97,40.23,30.96,32.67,35.64,38.97,23.85,36.54,37.35,33.3,44.64,44.01,39.24,34.11,38.16,44.73,35.55,45.72,60.76,62.65,35.19,0.0,0.0,51.04,46.53,60.58,83.8,67.69,57.61,67.51,68.05,65.98,85.24,96.76,101.62,93.88,82.63,81.55
8,Aiken County,South Carolina,100.0,100.99,104.29,113.79,137.93,120.67,88.07,106.04,102.61,104.29,104.44,122.78,125.48,84.2,98.53,102.18,100.89,113.55,127.89,124.94,92.69,104.54,105.84,107.27,96.63,129.53,120.99,94.03,105.13,108.34,111.31,124.19,155.11,134.03,95.38,116.12,106.73,108.21,109.68,142.12,142.31,99.79,105.77,112.82,120.51,128.46,158.67,154.76,105.74,116.19,114.24,114.96,118.93,156.04,150.42,109.07,119.89,122.22,123.31,126.68,141.82,135.87,89.9,102.68,98.09,99.37,99.78,106.67,91.47,59.48,78.09,76.5,82.06,89.11,95.24,83.76,63.43,82.02,77.05,80.27,83.87,90.29,74.41,57.77,78.15,79.76,77.9,83.44,87.6,76.71,44.91,86.63,90.6,92.99,91.72,103.5,91.12,60.27,89.34,96.11,98.43,89.43,110.07,100.93,76.33,100.71,106.6,101.37,110.39,126.49,108.83,85.17,111.9,116.18,119.18,123.85,137.18,132.2,97.7,0.0,0.0,126.85,140.04,158.86,147.81,118.72,128.73,136.54,121.91,148.08,171.76,155.88,115.94,112.84,141.79,139.49
9,Alachua County,Florida,100.0,102.21,111.36,116.55,141.97,130.21,92.69,104.06,101.2,103.93,106.16,131.05,120.3,91.92,97.3,102.0,99.21,110.02,144.46,129.98,93.15,97.86,100.93,105.94,108.8,135.37,128.78,99.12,100.18,105.3,108.33,127.0,157.51,143.37,108.81,107.82,107.65,110.22,116.62,140.65,135.36,102.54,100.9,103.86,119.22,124.22,157.9,117.31,86.23,89.77,89.19,91.26,94.83,114.68,119.74,99.42,108.03,110.97,113.35,119.84,140.0,119.29,86.35,91.64,85.15,79.61,76.55,81.44,67.81,50.88,55.82,50.67,52.95,52.62,57.6,52.28,41.1,49.14,49.81,51.99,51.9,53.91,45.36,34.7,46.15,47.72,47.88,50.62,56.55,50.89,33.68,50.68,48.61,51.46,56.66,63.26,54.34,47.48,54.18,57.14,59.33,61.13,64.23,62.9,49.31,60.22,62.65,65.62,66.78,85.6,72.56,59.45,68.54,73.79,73.6,76.47,86.91,76.87,55.54,0.0,0.0,80.97,85.03,98.57,91.66,76.43,79.95,86.47,88.27,97.84,110.89,100.32,81.67,75.8,88.85,91.17
