Date,Albany County,Allegany County,Bronx County,Broome County,Cattaraugus County,Cayuga County,Chautauqua County,Chemung County,Chenango County,Clinton County,Columbia County,Cortland County,Delaware County,Dutchess County,Erie County,Essex County,Franklin County,Fulton County,Genesee County,Greene County,Herkimer County,Jefferson County,Kings County,Lewis County,Livingston County,Madison County,Monroe County,Montgomery County,Nassau County,New York County,Niagara County,Oneida County,Onondaga County,Ontario County,Orange County,Orleans County,Oswego County,Otsego County,Putnam County,Queens County,Rensselaer County,Richmond County,Rockland County,Saratoga County,Schenectady County,Schoharie County,Schuyler County,Seneca County,St. Lawrence County,Steuben County,Suffolk County,Sullivan County,Tioga County,Tompkins County,Ulster County,Warren County,Washington County,Wayne County,Westchester County,Wyoming County,Yates County
13/01/2020,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14/01/2020,103.06,95.74,97.75,101.25,101.89,107.29,102.3,98.82,115.49,104.47,100.75,106.85,113.99,101.72,99.58,95.26,105.71,110.42,107.07,96.69,96.07,101.89,101.92,93.16,105.34,110.17,106.76,101.7,104.53,94.86,103.78,104.81,101.64,102.58,99.47,107.5,100.23,122.49,101.93,100.56,98.8,100.23,98.18,103.71,104.29,108.77,98.9,97.88,109.12,98.38,102.24,93.09,95.6,107.97,101.5,97.68,100.48,107.95,102.91,101.24,99.11
15/01/2020,108.62,99.12,101.59,107.33,99.82,105.3,98.09,95.49,126.14,106.57,103.81,112.65,91.25,104.59,96.56,88.71,102.47,106.46,104.56,104.64,102.16,101.54,102.9,92.33,100.63,106.81,106.12,104.59,107.13,99.23,99.23,106.74,105.85,106.36,101.53,114.36,99.83,113.66,106.8,103.52,101.14,104.43,100.12,104.95,106.45,94.09,97.61,96.92,110.39,99.45,105.22,95.78,99.14,109.91,102.93,102.38,99.79,103.41,105.84,112.89,113.36
16/01/2020,105.96,94.77,101.51,105.91,101.08,96.34,98.26,100.85,111.81,97.7,106.99,107.66,89.69,107.7,98.2,91.95,97.42,106.6,99.14,111.58,95.02,102.07,108.19,86.97,105.15,105.33,105.01,105.31,107.04,103.35,99.06,105.37,100.88,107.3,100.82,104.04,98.97,108.7,105.28,106.45,104.61,110.33,100.83,108.76,106.72,94.77,102.39,97.88,91.69,101.82,105.74,96.17,101.8,111.48,105.74,103.58,93.28,100.39,107.64,94.9,107.57
17/01/2020,129.24,128.83,120.32,130.64,150.9,124.52,128.81,124.42,141.57,142.42,156.02,147.89,121.51,126.86,115.86,163.51,123.72,125.52,132.5,172.16,120.41,126.51,124.46,129.35,125.01,130.81,122.34,139.22,120.4,122.96,118.79,128.32,120.65,125.5,127.34,124.39,122.29,138.64,130.2,121.1,135.86,128.54,117.3,130.52,125.54,119.69,135.39,128.79,124.37,127.91,119.01,118.29,127.13,154.67,148.56,149.5,127.13,114.14,124.84,129.48,130.9
18/01/2020,87.45,108.65,92.53,98.48,142.42,100.59,105.6,91.88,99.21,123.43,116.53,123.36,98.14,89.34,92.77,184.55,130.59,94.12,98.28,166.33,106.76,90.69,108.62,94.89,102.74,109.39,102.15,98.78,98.92,115.13,110.73,98.22,94.14,117.32,84.46,113.78,105.43,108.85,92.02,96.59,96.81,103.61,83.68,96.38,96.12,92.86,116.85,131.64,118.36,99.1,100.56,89.7,92.3,127,105.04,138.15,98.13,95.05,93.94,98.01,111.13
19/01/2020,82.46,106.52,84.71,129.31,138.32,85.84,91.73,87.85,92.86,97.41,117.81,132.08,118.76,98.2,68.32,166.46,100.38,94.5,81.66,193.47,100.36,76.69,100.53,91.1,91.86,96.88,79.97,91.66,86.61,107.98,92.36,88.8,79.93,101.53,99.05,95.1,81.03,96.76,98.77,92.21,91.52,94.17,92.93,92.78,85.64,103.88,110.67,101.56,90.74,101.94,87.33,111.84,112.51,136.8,119.28,135.29,80.71,85.69,89.82,79.86,85.31
20/01/2020,104.04,114.58,90.77,134.79,135.65,108.3,114.33,94.84,113.65,121.09,128.22,133.21,116.82,115.05,89.97,148.89,104.78,102.92,103.17,188.48,122.29,98.68,99.63,112.94,108.58,112.38,95.66,119.67,96.28,87.73,104.84,108.5,103.46,110.85,115.58,102.42,99.83,118.8,114.39,96.4,107.2,98.02,102.49,110.83,99.89,118.56,108.67,112.96,105.61,106.33,96.99,122.18,106.76,148.79,146.17,135,116.34,99.44,102.58,112.46,109.8
21/01/2020,108.69,104.67,100.69,115.8,102.97,101.16,101.38,98.51,110.08,108.55,101.16,106.55,100.22,104.47,94.48,87.04,106.04,108.77,100.11,114.02,103.16,100.32,99.82,97.61,119.47,108.4,102.18,105.33,102.23,90.64,101.38,108.46,98.77,100.14,102.99,108.82,100.71,118.37,100.97,101.34,102.39,102.32,95.39,101.73,105.54,112.37,109.07,93.51,100.2,97.48,99.55,100.76,90.57,124.97,107.44,102.5,91.53,99.85,104.99,104.67,120.3
22/01/2020,108.37,93.66,101.24,115.21,101.18,100.28,100,107.02,109.82,106.5,105.38,112.32,91.74,103.65,96.86,90.45,99.12,104.85,98.85,101.54,107.17,100.78,103,121.35,108.65,106.41,101.92,100.84,103.84,95.43,101.94,109.48,101.83,100.32,101.36,104.33,102.64,114.89,102.63,101.02,100.33,105.95,95.67,103.71,109.08,107.65,108.47,89.76,94.75,100.25,102.54,96.1,94.85,140.06,104.57,102.8,100,100.72,103.07,101.83,111.31
23/01/2020,115.09,108.33,102.7,118.82,107.79,108.67,110.24,103.04,116.64,110.21,106.32,121.67,94.86,106.2,105.37,113.38,105,99.11,107.29,111.25,105.21,104.79,106.76,103.87,118.65,113.38,107.12,104.66,107.16,102.7,103.9,112.31,105.96,109.91,105.82,119.38,108.78,116.1,101.74,105.1,110.9,147.9,100.64,108.3,108.05,101.35,108.87,104.77,112.05,99.86,105.83,98.41,99.92,126.5,106.17,110.98,103.08,100.62,106.57,105.59,114.43
24/01/2020,131.9,135.54,120.05,149.9,145.99,132.09,131.06,118.78,127.61,135.63,129.54,180.99,117.12,126.5,119.25,150.79,126.63,124,124.55,150.71,130.91,117.19,121.09,118.14,136.73,135.23,127.47,138.81,119.38,125.13,129.74,137.09,125.11,139.61,121.8,124.45,130.95,139.3,118.59,119.35,131.31,130.64,113.31,126.71,124.37,135.49,133,136.35,130.71,122.97,123.5,123,122.25,159.51,134.43,145.56,119.32,116.01,121.61,122.45,118.34
