,fips,county,state,state_code,male,female,median_age,population,female_percentage,Density per square mile of land area
0,1001,Autauga County,Alabama,AL,26874,28326,37.8,55200,51.31521739130434,91.8
1,1003,Baldwin County,Alabama,AL,101188,106919,42.8,208107,51.376935903165204,114.6
2,1005,Barbour County,Alabama,AL,13697,12085,39.9,25782,46.87378791404857,31.0
3,1007,Bibb County,Alabama,AL,12152,10375,39.9,22527,46.05584409819328,36.8
4,1009,Blount County,Alabama,AL,28434,29211,40.8,57645,50.67395264116576,88.9
5,1011,Bullock County,Alabama,AL,5663,4689,39.6,10352,45.295595054095834,17.5
6,1013,Butler County,Alabama,AL,9368,10657,40.7,20025,53.218476903870155,27.0
7,1015,Calhoun County,Alabama,AL,55315,59783,39.7,115098,51.940954664720486,195.7
8,1017,Chambers County,Alabama,AL,16257,17569,43.0,33826,51.939336604978415,57.4
9,1019,Cherokee County,Alabama,AL,12820,13033,45.9,25853,50.41194445518895,46.9
10,1021,Chilton County,Alabama,AL,21672,22258,38.6,43930,50.666970179831544,63.0
11,1023,Choctaw County,Alabama,AL,6253,6822,46.1,13075,52.175908221797314,15.2
12,1025,Clarke County,Alabama,AL,11539,12848,42.3,24387,52.68380694632386,20.9
13,1027,Clay County,Alabama,AL,6464,6914,43.7,13378,51.68186574973838,23.1
14,1029,Cleburne County,Alabama,AL,7281,7657,42.5,14938,51.25853527915384,26.7
15,1031,Coffee County,Alabama,AL,25314,25974,39.3,51288,50.643425362657936,73.6
16,1033,Colbert County,Alabama,AL,26075,28420,42.7,54495,52.15157353885678,91.8
17,1035,Conecuh County,Alabama,AL,6037,6477,44.8,12514,51.758031005274105,15.6
18,1037,Coosa County,Alabama,AL,5501,5354,46.9,10855,49.32289267618609,17.7
19,1039,Covington County,Alabama,AL,18172,19179,43.9,37351,51.34802281063426,36.6
20,1041,Crenshaw County,Alabama,AL,6814,7051,41.5,13865,50.85467003245583,22.8
21,1043,Cullman County,Alabama,AL,40560,41753,40.6,82313,50.72467289492547,109.4
22,1045,Dale County,Alabama,AL,24234,25021,37.5,49255,50.79890366460258,89.6
23,1047,Dallas County,Alabama,AL,18448,21581,39.5,40029,53.91341277573759,44.8
24,1049,DeKalb County,Alabama,AL,35304,35896,39.3,71200,50.41573033707866,91.5
25,1051,Elmore County,Alabama,AL,39450,41762,38.6,81212,51.42343496035068,128.2
26,1053,Escambia County,Alabama,AL,19067,18261,39.7,37328,48.92038148306901,40.5
27,1055,Etowah County,Alabama,AL,49651,53288,41.3,102939,51.76658020769582,195.2
28,1057,Fayette County,Alabama,AL,8170,8415,43.8,16585,50.73861923424781,27.5
