,fips,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28
0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,8.0,11.0,8.0,11.0,12.0,12.0,14.0,12.0,13.0,13.0,15.0,15.0,17.0,16.0,20.0,16.0,21.0,18.0,22.0,21.0,23.0,19.0,26.0,22.0,31.0,22.0,36.0,25.0,42.0,26.0,48.0,36.0,55.0,38.0,66.0,37.0,73.0,37.0,83.0,44.0,92.0,51.0,98.0,57.0,102.0,66.0,123.0,69.0,136.0
1,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,8.0,7.0,11.0,8.0,12.0,12.0,16.0,13.0,16.0,22.0,20.0,24.0,32.0,27.0,39.0,32.0,40.0,47.0,44.0,57.0,46.0,63.0,49.0,68.0,55.0,77.0,66.0,81.0,66.0,95.0,73.0,98.0,76.0,98.0,77.0,104.0,83.0,105.0,84.0,112.0,93.0,115.0,101.0,121.0,103.0,124.0,107.0,136.0,108.0,146.0,108.0,152.0,110.0,160.0,109.0,162.0,111.0,163.0,111.0,166.0,116.0,165.0
2,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,3.0,7.0,3.0,8.0,4.0,10.0,5.0,13.0,7.0,15.0,13.0,16.0,14.0,18.0,14.0,19.0,16.0,21.0,16.0,23.0,19.0,24.0,21.0,24.0,23.0,24.0,27.0,26.0,32.0,27.0,34.0,33.0,36.0,38.0,41.0,38.0,43.0,42.0,48.0,48.0,51.0,53.0,52.0,58.0,55.0,67.0,63.0,69.0
3,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,7.0,6.0,10.0,7.0,10.0,8.0,14.0,10.0,16.0,12.0,20.0,12.0,22.0,11.0,23.0,11.0,27.0,15.0,27.0,15.0,27.0,15.0,27.0,16.0,26.0,17.0,26.0,18.0,26.0,19.0,27.0,19.0,27.0,19.0,27.0,22.0,28.0,22.0,28.0,23.0,29.0,23.0,32.0,26.0,33.0,26.0,40.0,31.0,40.0
4,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,9.0,8.0,10.0,10.0,10.0,11.0,11.0,15.0,14.0,17.0,14.0,17.0,17.0,17.0,17.0,19.0,18.0,21.0,19.0,21.0,19.0,21.0,21.0,23.0,21.0,23.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,25.0,22.0,25.0,22.0,25.0,24.0,25.0,24.0,25.0,26.0,27.0,31.0
5,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,,3.0,,3.0,,3.0,0.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,7.0,4.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,8.0,6.0,8.0,6.0,10.0,8.0,10.0,8.0,13.0,9.0,14.0,12.0,14.0,14.0,14.0,18.0,17.0,18.0,22.0,30.0,34.0,31.0,58.0,47.0,64.0,69.0,98.0,78.0,105.0
6,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,6.0,2.0,7.0,4.0,12.0,1.0,13.0,1.0,14.0,3.0,16.0,5.0,16.0,16.0,18.0,27.0,23.0,30.0,35.0,57.0,48.0,66.0,54.0,76.0,79.0,83.0,95.0,94.0,102.0,122.0,108.0,141.0,117.0,154.0,118.0,167.0,128.0,184.0,134.0,195.0,140.0,204.0,155.0,225.0,166.0,226.0
7,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,3.0,8.0,4.0,14.0,7.0,16.0,18.0,23.0,26.0,27.0,27.0,30.0,29.0,32.0,30.0,32.0,30.0,33.0,33.0,38.0,42.0,41.0,44.0,44.0,45.0,44.0,47.0,43.0,49.0,44.0,50.0,43.0,55.0,50.0,55.0,59.0,55.0,65.0,58.0,66.0,58.0,67.0,59.0,68.0,60.0,69.0,61.0,69.0,64.0,69.0,67.0,69.0,68.0,70.0,71.0,75.0,75.0,77.0,75.0
8,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,5.0,8.0,5.0,12.0,15.0,18.0,18.0,24.0,43.0,37.0,50.0,39.0,55.0,46.0,63.0,88.0,80.0,101.0,97.0,115.0,101.0,120.0,111.0,125.0,115.0,130.0,127.0,132.0,138.0,137.0,145.0,137.0,148.0,141.0,150.0,143.0,152.0,138.0,156.0,144.0,158.0,146.0,160.0,148.0,163.0,151.0,165.0,154.0,170.0,154.0,172.0,154.0,174.0,154.0,175.0,154.0,177.0,155.0,175.0,155.0,181.0,156.0,182.0,158.0,191.0
9,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,5.0,1.0,5.0,1.0,6.0,1.0,6.0,1.0,7.0,2.0,7.0,2.0,9.0,3.0,9.0,3.0,9.0,4.0,9.0,3.0,9.0,3.0,11.0,3.0,12.0,3.0,12.0,3.0,12.0,4.0,12.0,5.0,13.0,5.0,16.0,6.0,16.0,8.0,16.0,8.0,17.0,9.0,18.0,9.0,19.0,10.0,20.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0
