,geo_value,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27
0,06111,0.1436049,0.7914496,0.0,0.0,0.0,0.9145194,0.1824493,0.1819867,1.440911,0.0874687,0.7611444,0.5318051,0.7776466,0.5350073,0.2049323,0.0,0.1848379,0.2593521,0.4729529,0.4386847,0.8476427,0.0811193,0.1678047,0.0777276,0.0,0.0,0.4632952,0.0746861,0.0,0.0978103,0.0,0.2148595,0.2288219,0.0,0.3970875,0.0,0.446318,0.0,0.0,0.7306848,1.0419276,0.0,0.0801123,0.6812349,0.3290302,0.0,0.0,0.4276343,0.0,0.0
1,54039,0.4634242,0.9214635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4662571,0.0,0.0,0.5918387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,39133,0.3323873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,47157,0.1691375,0.3343297,0.1637411,0.0,0.0,0.3807301,0.4593089,0.6718709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24975,0.0,0.0,0.8479428,0.0,0.0,0.0,1.2589802,0.0,0.3944817,0.3940364,1.0479653,0.1766134,0.1408562,0.0,0.0,0.0,0.4169032,0.0,0.0,0.0,1.2929052,0.0,0.5147619,0.0,1.2442187,0.9200137,0.37,0.0,0.941003,0.6584319,0.0,0.1574529,0.0
4,22051,1.3016022,1.1487883,0.8321099,0.0,0.0,0.8891968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4496663,0.6525599,0.0,0.8990957,0.0,0.5170355,0.0,0.0,0.0,0.3154958,1.0,1.2923836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8661864,0.0,1.603027,0.848004,0.0,0.0,0.0,0.0,0.0,1.0383799,0.0,0.7651325,0.7390975,0.5579089
5,21059,0.756567,2.2574578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18043,0.2969818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,35000,0.415601,0.7502159,0.1201299,0.7563025,0.0,0.7455268,0.25,0.2666684,0.0673401,0.5274262,1.3484589,1.3978495,0.1103753,0.5446623,0.0465549,0.0694444,0.7885305,0.1567398,0.2659574,1.0696517,0.3521137,0.6214689,0.7339822,0.495356,0.3311258,0.984375,0.9016393,0.1779359,1.4619883,0.1694915,0.0,0.8763626,0.1886792,0.3927813,0.5454545,0.6504065,0.4251701,1.0416667,0.567721,0.1903553,0.3548256,0.2365931,0.3659348,0.5491882,0.2739726,0.2078138,0.0,0.2469136,0.4234528,0.5946685
8,27003,0.2806426,0.2060334,1.7189393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,29037,0.6535093,0.2202865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
